program_id,program_name,employee_first_name,employee_last_name,business_unit_corporate_function,location,career_grade,talent_review_status,number_of_years_with_business,gender,ethnicity,nps_score,nps_comments
621,iLead,Kimberely,Gillett,Assessment & Qualifications,India,F,Ready now,6 - 10 years,Male,White,3.0,
621,iLead,Latricia,Abrahams,Higher Education,India,D,Aspire to move,Less than 2 years,Male,White,3.0,
621,iLead,Norberto,Rugg,Virtual Online Learning,United Kingdom,D,Aspire to move,3 - 5 years,Female,White,5.0,
621,iLead,Darrick,Horn,Virtual Online Learning,"North America, United States",E,Aspire to move,Less than 2 years,Female,White,3.0,
621,iLead,Julissa,Linley,English Language Learning,United Kingdom,E,Ready in 1 year,11 + years,Female,White,7.0,
621,iLead,Thanh,Ware,Assessment & Qualifications,"North America, United States",E,Aspire to move,Less than 2 years,Female,White,3.0,
621,iLead,Waldo,Evenden,Assessment & Qualifications,"North America, United States",E,Ready in 1 year,11 + years,Female,White,10.0,
621,iLead,Michele,Fernandez,Virtual Online Learning,Africa,D,Aspire to move,11 + years,Male,White,4.0,
621,iLead,Eliseo,Wilde,Assessment & Qualifications,"North America, United States",F,Ready now,Less than 2 years,Male,White,1.0,
621,iLead,Carrie,Townsley,Finance,"North America, United States",D,Ready now,6 - 10 years,Male,White,5.0,
621,iLead,Tanisha,Ellard,Assessment & Qualifications,"North America, United States",E,Ready in 1 year,6 - 10 years,Female,White,6.0,
621,iLead,Murray,Pereira,Assessment & Qualifications,"North America, United States",D,Aspire to move,Less than 2 years,Female,White,2.0,
621,iLead,Brittani,Mckie,Assessment & Qualifications,"North America, United States",D,Ready now,11 + years,Female,White,2.0,
621,iLead,Belia,Watson,CPO/DTC,"North America, United States",F,Aspire to move,3 - 5 years,Male,White,9.0,
621,iLead,Rosalie,Lindsay,Higher Education,"North America, Canada",F,Aspire to move,Less than 2 years,Male,White,6.0,
621,iLead,Yvette,Harlow,Human Resources,United Kingdom,F,Aspire to move,11 + years,Male,White,6.0,
621,iLead,Jana,Hanlon,Virtual Online Learning,"North America, Canada",E,Performing to standard,6 - 10 years,Male,White,5.0,
621,iLead,Angie,Westwood,Higher Education,Europe,E,Aspire to move,6 - 10 years,Male,White,9.0,
621,iLead,Josiah,Nutt,Higher Education,United Kingdom,D,Ready in 1 year,Less than 2 years,Male,White,1.0,
621,iLead,Arlene,Oldfield,Virtual Online Learning,"North America, United States",D,Ready in 1 year,11 + years,Female,White,5.0,
